Chinese,Pinyin,English
"1. 读书世界就在眼前","Dúshū shìjiè jiù zài yǎnqián","[Vietnamese: Đọc sách, thế giới ở ngay trước mắt]"
"读","dú","To read."
"书","shū","Book."
"世界","shìjiè","World."
"就","jiù","Exactly / Right (emphasizes immediacy). [Note: Mortar]"
"在","zài","At / In (indicates location). [Note: Mortar]"
"眼前","yǎnqián","Before one's eyes / In front of you."
"2. 不读书眼前便是世界","Bù dúshū yǎnqián biàn shì shìjiè","[Vietnamese: Không đọc sách, tầm mắt đến đâu, thế giới chỉ đến đó]"
"不","bù","Not. [Note: Mortar]"
"读","dú","Read."
"书","shū","Book."
"眼前","yǎnqián","Before your eyes / What you see now."
"便","biàn","Then / Simply (similar to 就). [Note: Mortar]"
"是","shì","Is. [Note: Mortar]"
"世界","shìjiè","World."
"3. 读书不一定能让你一夜暴富","Dúshū bù yīdìng néng ràng nǐ yīyè bàofù","[Vietnamese: Đọc sách chưa chắc đã giúp bạn một đêm trở nên giàu có]"
"读书","Dúshū","Reading."
"不一定","bù yīdìng","Not necessarily."
"能","néng","Can / Able to. [Note: Mortar]"
"让","ràng","Make / Let. [Note: Mortar]"
"你","nǐ","You."
"一夜","yīyè","One night / Overnight."
"暴富","bàofù","To get rich suddenly."
"4. 功成名就","gōngchéngmíngjiù","[Vietnamese: Công thành danh toại] — Note: This is a four-character idiom (Chengyu) meaning 'to win fame and success.'"
"功","gong","Achievement / Work."
"成","chéng","Success / Accomplish."
"名","míng","Name / Reputation."
"就","jiù","To achieve."
"5. 但可以让你出言有尺","dàn kěyǐ ràng nǐ chūyán yǒu chǐ","[Vietnamese: Nhưng có thể khiến bạn nói năng có chừng mực]"
"但","dàn","But. [Note: Mortar]"
"可以","kěyǐ","Can / May. [Note: Mortar]"
"让","ràng","Make / Let. [Note: Mortar]"
"你","nǐ","You."
"出言","chūyán","To speak."
"有","yǒu","To have."
"尺","chǐ","Ruler / Measure. (Meaning: speaking with restraint/wisdom)."
"6. 嬉闹有度，说话有德，做事有余","xīnào yǒu dù, shuōhuà yǒu dé, zuòshì yǒuyú","[Vietnamese: Vui chơi có giới hạn, nói chuyện có đạo đức, làm việc chừa đường lui]"
"嬉闹","xīnào","Playing / Frolicking."
"有","yǒu","Have."
"度","dù","Limit / Degree."
"说话","shuōhuà","Speaking."
"德","dé","Virtue / Morality."
"做事","zuòshì","Doing things / Working."
"有余","yǒuyú","Having a surplus / Doing more than enough (with ease)."
"7. 读书不光是为了一纸文凭","Dúshū bùguāng shì wèile yī zhǐ wénpíng","[Vietnamese: Đọc sách không chỉ vì một tấm bằng]"
"读书","Dúshū","Reading."
"不光","bùguāng","Not only."
"是","shì","Is. [Note: Mortar]"
"为了","wèile","For / In order to. [Note: Mortar]"
"一","yī","One."
"纸","zhǐ","Piece of paper (Measure word)."
"文凭","wénpíng","Diploma."
"8. 也不单单是追名逐利","yě bù dāndān shì zhuīmíngzhúlì","[Vietnamese: Cũng không phải chỉ là theo đuổi danh lợi]"
"也","yě","Also. [Note: Mortar]"
"不","bù","Not."
"单单","dāndān","Simply / Merely."
"是","shì","Is. [Note: Mortar]"
"追名逐利","zhuīmíngzhúlì","Chasing fame and profit (Chengyu)."
"9. 而是为了让你成为一个有温度","ér shì wèile ràng nǐ chéngwéi yīgè yǒu wēndù","[Vietnamese: Mà là để bạn trở thành một người có tấm lòng ấm áp]"
"而是","ér shì","But rather. [Note: Mortar]"
"为了","wèile","For / In order to. [Note: Mortar]"
"让","ràng","Let / Make. [Note: Mortar]"
"你","nǐ","You."
"成为","chéngwéi","To become."
"一个","yīgè","A / One (Measure word for person)."
"有","yǒu","Have."
"温度","wēndù","Temperature (Metaphor for 'warmth' or 'kindness')."
"10. 懂情趣，会思考的人","dǒng qíngqù, huì sīkǎo de rén","[Vietnamese: Biết yêu cái đẹp, biết suy nghĩ]"
"懂","dǒng","To understand."
"情趣","qíngqù","Interest / Appeal / Sentiment."
"会","huì","Know how to / Can. [Note: Mortar]"
"思考","sīkǎo","To think deeply."
"的","de","Linking particle (connecting adjectives to 'person'). [Note: Mortar]"
"人","rén","Person."
"11. 纵使人生起落无常","Zòngshǐ rénshēng qǐluò wúcháng","[Vietnamese: Dù cuộc đời thăng trầm vô thường]"
"纵使","Zòngshǐ","Even if / Even though."
"人生","rénshēng","Life."
"起落","qǐluò","Ups and downs (Rise and fall)."
"无常","wúcháng","Impermanent / Constant change."
"12. 也能处变不惊，从容不慌","yě néng chǔbiànbùjīng, cóngróng bù huāng","[Vietnamese: Vẫn có thể bình tĩnh đối diện, điềm nhiên, không hoảng]"
"也","yě","Also / Still. [Note: Mortar]"
"能","néng","Can / Able to. [Note: Mortar]"
"处变不惊","chǔbiànbùjīng","Remaining calm in the face of change (Chengyu)."
"从容","cóngróng","Calm / Unhurried."
"不","bù","Not. [Note: Mortar]"
"慌","huāng","Flustered / Panicked."
"13. 就算身处低谷彷徨","Jiùsuàn shēn chǔ dīgǔ pánghuáng","[Vietnamese: Dù có ở trong vực sâu mông lung vô định]"
"就算","Jiùsuàn","Even if."
"身处","shēn chǔ","To find oneself in / Situated in."
"低谷","dīgǔ","Trough / Low point / Valley."
"彷徨","pánghuáng","Hesitant / To pace back and forth (feeling lost)."
"14. 也能自愈自渡，风骨坦荡","yě néng zì yù zì dù, fenggǔ tǎndàng","[Vietnamese: Vẫn có thể tự chữa lành, tự vượt qua, phong thái hiên ngang, đường hoàng]"
"也","yě","Also. [Note: Mortar]"
"能","néng","Can. [Note: Mortar]"
"自愈","zì yù","Self-healing."
"自渡","zì dù","Self-salvation (crossing the river by oneself)."
"风骨","fēnggǔ","Strength of character."
"坦荡","tǎndàng","Magnanimous / Open-hearted."
"15. 读书是平凡生活里最好的救赎","Dúshū shì píngfán shēnghuó lǐ zuì hǎo de jiùshú","[Vietnamese: Đọc sách là cứu cánh tốt nhất trong cuộc sống tầm thường]"
"读书","Dúshū","Reading."
"是","shì","Is. [Note: Mortar]"
"平凡","píngfán","Ordinary / Common."
"生活","shēnghuó","Life."
"里","lǐ","Inside / In. [Note: Mortar]"
"最好","zuì hǎo","Best."
"的","de","Linking particle. [Note: Mortar]"
"救赎","jiùshú","Redemption."
"16. 更是普通人行走人生的底气","gèng shì pǔtōng rén xíngzǒu rénshēng de dǐqì","[Vietnamese: Càng là nền tảng vững chắc cho những người bình thường bước đi trên đường đời]"
"更","gèng","Even more. [Note: Mortar]"
"是","shì","Is. [Note: Mortar]"
"普通人","pǔtōng rén","Ordinary person."
"行走","xíngzǒu","To walk."
"人生","rénshēng","Life."
"的","de","Linking particle. [Note: Mortar]"
"底气","dǐqì","Confidence / Internal strength."
